claim_id,claim_text,source,verifier,status
A-CP4-01,Naloxone Saturation LE gain ~0.7 year,decision_tree.md,Stream A,cited
A-CP4-02,"Massachusetts naloxone distribution: 46% lower overdose mortality",Walley et al. BMJ 2013 (evidence_base.md Other city projects),Stream A,needs_verification
A-CP5-01,Vacant Lot Restoration LE gain ~0.5 year,decision_tree.md,Stream A,cited
A-IM1-01,IMAN Health Center Expansion LE gain ~1.5 year,decision_tree.md,Stream A,cited
A-IM1-02,IMAN current FQHC = 3500 sqft; expanding to ~30000 sqft; >$20M capital,IMAN_initiatives_profile.md,Stream A,cited
A-IM2-01,Regenerator Housing LE gain ~1.0 year,decision_tree.md,Stream A,cited
A-IM2-02,Regenerator will produce ~48 supportive housing units + ground-floor FQHC/pharmacy,IMAN_initiatives_profile.md,Stream A,cited
A-IM3-01,Green Reentry Workforce LE gain ~0.8 year,decision_tree.md,Stream A,cited
A-IM3-02,Green Reentry 2024: 350 graduates; 91% retention; placement rate being compiled,IMAN_initiatives_profile.md,Stream A,cited
A-IM3-03,"Each $10,000 additional income ~ 1 year LE among low-income adults",Chetty et al. JAMA 2016 (evidence_base.md Funding/Housing),Stream A,needs_verification
A-IM4-01,Fresh Market Operations LE gain ~0.8 year,decision_tree.md,Stream A,cited
A-IM4-02,Fresh Market: 20% transactions via EBT; 23% revenue SNAP; 9000+ loyalty members,IMAN_initiatives_profile.md,Stream A,cited
A-IM5-01,Weekend Warriors Youth LE gain ~0.5 year,decision_tree.md,Stream A,cited
A-IM6-01,IMAN Oasis Cafe/Community LE gain [DATA GAP] - decision tree lists no numeric estimate,decision_tree.md,Stream A,data_gap
A-FU1-01,NMTC / HUD Choice Neighborhoods LE gain [DATA GAP] - funding is enabling; tree lists no numeric estimate,decision_tree.md,Stream A,data_gap
A-FU2-01,CDFI / Social Impact Bonds LE gain [DATA GAP] - no direct numeric estimate,decision_tree.md,Stream A,data_gap
A-FU2-02,"Manitoba Mincome: 8.5% reduction in hospitalizations",Forget EL 2011 (evidence_base.md Funding/Housing),Stream A,needs_verification
A-FU3-01,SNAP / WIC / EITC LE gain [DATA GAP] - encompasses multiple programs each with own estimate,decision_tree.md,Stream A,data_gap
A-FU3-02,"Bolsa Familia: 17% reduction in overall child mortality; 58% in nutrition-related child mortality",Rasella et al. (evidence_base.md Funding),Stream A,needs_verification
A-FU4-01,Philanthropy + Foundation Grants LE gain [DATA GAP],decision_tree.md,Stream A,data_gap
A-FU5-01,City & State Capital Grants LE gain [DATA GAP],decision_tree.md,Stream A,data_gap
A-A0-01,"Chetty income-LE gradient: top 1% live ~15 yrs longer than bottom 1%",Chetty et al. JAMA 2016 (evidence_base.md Funding),Stream A,needs_verification
A-A0-02,"North Karelia Project: 80% reduction in CV mortality over 30 years",Vartiainen E (evidence_base.md Healthcare),Stream A,needs_verification
A-A0-03,"A 10 mmHg reduction in population mean SBP corresponds to substantial CVD mortality decline - magnitude sourced from ACC/AHA/SPRINT literature",[DATA GAP - specific coefficient needs primary verification],Stream A,data_gap
A-A0-04,"Englewood population ~24000; ~94% Black; poverty ~42%; LE 62-67 yrs",00_similarity_criteria.md,Stream A,needs_verification
A-A0-05,"USALEEP tract LE data is 2010-2015 snapshot",00_master_plan.md,Stream A,cited
