dataset_name,producer,landing_page_url,direct_download_url,geo_resolution,temporal_range,update_frequency,file_format,file_size_est,license,cost,verified_url_date,iman_use_case,priority_tier
Cook County Assessor Open Data,Cook County Assessor's Office (CCAO),https://www.cookcountyassessoril.gov/,https://datacatalog.cookcountyil.gov/browse?tags=cook%20county%20assessor,parcel (PIN),2000-present (varies by table),continuous,CSV / Socrata API,multi-GB across all tables,Public (Cook County terms),Free,2026-04-21,"Parcel-level assessed value, vacant-land flag, sales history — input to vacant-lot intervention (HO/RC1) effect sizes + NMTC project planning.",2
Chicago Data Portal (general),City of Chicago,https://data.cityofchicago.org/,https://data.cityofchicago.org/ (Socrata API),varies (address / beat / tract / ward / community area),varies by dataset,varies,CSV / JSON / Shapefile via Socrata,varies,Public,Free,2026-04-21,Parent portal for Chicago datasets below.,1
Chicago Crimes 2001 to Present,Chicago Police Department (via CDP),https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2,https://data.cityofchicago.org/resource/ijzp-q8t2.csv,address (masked to block) + beat + ward + community area + district,2001-present,daily (7 day lag),CSV + JSON,~2 GB full history,Public,Free,2026-04-21,"Shootings, homicides, aggravated assault counts at community-area level — evaluate CP1 GVI + CP2 Cure Violence + IM3 Green Reentry.",1
Chicago 311 Service Requests,City of Chicago,https://data.cityofchicago.org/Service-Requests,(per-request Socrata endpoints),address + ward + community area,2018-present (post-CSR consolidation),continuous,CSV / JSON,~1 GB per year,Public,Free,2026-04-21,Graffiti removal + garbage carts + rodent complaints — proxies for neighborhood disinvestment vs positive-deviant peers.,3
Chicago Building Permits,City of Chicago,https://data.cityofchicago.org/Buildings/Building-Permits/ydr8-5enu,https://data.cityofchicago.org/resource/ydr8-5enu.csv,address / tract,2006-present,daily,CSV / JSON,~300 MB,Public,Free,2026-04-21,Investment activity in Englewood + Chicago Lawn — IM2 Regenerator Housing tracking + NMTC deal pipeline.,3
Chicago Building Code Violations,City of Chicago,https://data.cityofchicago.org/Buildings/Building-Violations/22u3-xenr,https://data.cityofchicago.org/resource/22u3-xenr.csv,address / tract,2006-present,daily,CSV / JSON,~500 MB,Public,Free,2026-04-21,Housing quality + neglect indicator — Tier 2 for HO5 lead remediation priority mapping.,2
Chicago Evictions (Eviction Lab),Princeton Eviction Lab,https://evictionlab.org/,https://evictionlab.org/eviction-tracking/,tract + block group,2000-2016 (historical) + 2020-present tracking,tracking: monthly,CSV,<500 MB,Public (CC BY-SA for most tables),Free (some require email),2026-04-21,Eviction filing + judgment rates in target tracts — housing-instability mortality pathway.,2
CTA Ridership,Chicago Transit Authority (via CDP),https://data.cityofchicago.org/Transportation/CTA-Ridership-L-Station-Entries-Daily-Totals/5neh-572f,https://data.cityofchicago.org/resource/5neh-572f.csv,L station,2001-present,monthly,CSV,<100 MB,Public,Free,2026-04-21,Track MT2 Racine Green Line reopening impact; baseline transit access trend for peer neighborhood comparison.,2
USDA Food Access Research Atlas,USDA Economic Research Service,https://www.ers.usda.gov/data-products/food-access-research-atlas,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,census tract,"vintages 2010 2015 2019 (current)",every ~5 yrs,XLSX + Shapefile,<100 MB,Public Domain,Free,2026-04-21,"LILATracts flag for Englewood + Chicago Lawn — FA3 Fresh Market Expansion justification + FA1/FA2 need estimation.",1
USDA Food Environment Atlas,USDA ERS,https://www.ers.usda.gov/data-products/food-environment-atlas,https://www.ers.usda.gov/data-products/food-environment-atlas,county,"2007-2024 (latest verified updated 3/4/2026)",periodic,XLSX + map,~50 MB,Public Domain,Free,2026-04-21,"County-level food-access + food-assistance context: Cook vs peer-city counties.",3
USDA SNAP Retailer Locator,USDA FNS,https://www.fns.usda.gov/snap/retailer-locator,https://www.fns.usda.gov/snap/retailer-locator/data,address (lat/lon),20-year rolling window + current active; updated Dec 31 2025,quarterly,CSV (zipped),~50 MB,Public,Free,2026-04-21,"Count and geocode SNAP-authorized retailers in Englewood + Chicago Lawn — input to FA1 Fresh Boost targeting.",2
USDA SNAP State Participation,USDA FNS,https://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap,https://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap,state / national,monthly back to 1969,monthly,XLSX,<10 MB,Public,Free,2026-04-21,Illinois SNAP caseload trend for FU3 policy context.,3
USDA WIC Participation,USDA FNS,https://www.fns.usda.gov/pd/wic-program,https://www.fns.usda.gov/pd/wic-program,state,monthly,monthly,XLSX,<10 MB,Public,Free,2026-04-21,Illinois WIC caseload — FA2 WIC Access evaluation.,3
EPA EJScreen,EPA — REMOVED from EPA site Feb 2025; preserved by PEDP,(EPA removed Feb 2025) archived at Harvard Dataverse + PEDP mirror,https://pedp-ejscreen.azurewebsites.net/ + https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLR5AX,block group + tract,2015-2023 (last EPA version 2.3),(no longer updated by EPA),XLSX + GeoPackage + Shapefile,~1-5 GB national GeoPackage,Public Domain (pre-removal) / Harvard dataverse CC0,Free,2026-04-21,"PM2.5 + ozone + traffic + proximity-to-TSDF + superfund-proximity at block-group level — MT1 PM2.5 narrative + environmental justice framing. FLAG: EPA removed this tool Feb 2025; use PEDP reconstruction and Harvard archive.",1
EPA AirNow,EPA,https://www.airnow.gov/,https://docs.airnowapi.org/,monitor point + lat/lon (interpolated to tract via other tools),real-time to historical (1980s-),real-time,JSON/API + GIS,varies,Public Domain,Free (API key required),2026-04-21,"PM2.5 + ozone + AQI for Chicago's monitoring stations — air-quality context for MT1.",2
NaNDA (National Neighborhood Data Archive),University of Michigan ICPSR,https://nanda.isr.umich.edu/,https://www.icpsr.umich.edu/web/ICPSR/series/1920,census tract + ZCTA + county,varies by table (1981-2024 for climate; 1990-2022 for SES),varies,CSV,varies,Public (ICPSR terms),Free (free ICPSR account),2026-04-21,"Pre-built neighborhood measures (healthcare access, partisanship, SES, libraries, transit stops, PRISM climate, land-cover) — labor-saving source for peer-neighborhood features.",2
FBI Crime Data Explorer (NIBRS + UCR),FBI CJIS,https://cde.ucr.cjis.gov/,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,agency (ORI),1985-present,monthly (UCR summary) + annual (NIBRS),CSV + incident ZIP,multi-GB,Public,Free,2026-04-21,National peer-city crime benchmarks for Stream D project comparisons.,2
Gun Violence Archive,Gun Violence Archive (NGO),https://www.gunviolencearchive.org/,https://www.gunviolencearchive.org/reports (Export to CSV),incident-level geocoded,2013-present,daily,CSV via site export,<500 MB full history,GVA terms (non-commercial research),Free,2026-04-21,"Incident-level shooting data including mass shootings for Chicago — supplements CPD crime data with geocoded GVA-classified events.",3
Head Start Center Locator / Service Locations,HHS ACF OHS,https://headstart.gov/center-locator,https://headstart.gov/about-us/article/head-start-service-location-datasets,center address,current + PIR 2024-2025,annual,CSV + dataset builder,<10 MB,Public,Free,2026-04-21,ED1 Early Childhood Education — enumerate Head Start seats in Englewood + Chicago Lawn vs need.,2
SAMHSA N-SUMHSS Treatment Facility Directory (successor to N-SSATS + N-MHSS),SAMHSA CBHSQ,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/datafiles,facility address,2021-2024 (N-SUMHSS); pre-2021 via N-SSATS / N-MHSS archives,annual,CSV + PDF + XLSX directory,<50 MB,Public,Free,2026-04-21,"MOUD + naloxone + behavioral-health facility supply (HC5 + HC6) — who is the competition / who is the partner in Chicago Southside.",2
HRSA UDS (Uniform Data System),HRSA Bureau of Primary Health Care,https://data.hrsa.gov/topics/health-centers/uds,https://data.hrsa.gov/data/download,health center (center-level),2010-2024 (2024 submitted Feb 2025),annual,XLSX + CSV,<500 MB,Public (some center-level tables redacted),Free,2026-04-21,"FQHC benchmark: patient count, HTN control, DM control, depression screening, prenatal visits — IMAN Health Clinic performance vs peer FQHCs.",1
HRSA AHRF (Area Health Resource Files),HRSA Bureau of Health Workforce,https://data.hrsa.gov/topics/health-workforce/ahrf,https://data.hrsa.gov/data/download,county / state / national,1999-2024/25 (86 files as of Dec 2025),annual,CSV + SAS + ASCII,~1 GB full file,Public,Free,2026-04-21,"Provider-supply context: primary care / dentist / psychiatrist counts for Cook County vs peer counties.",2
Mapping Inequality (HOLC redlining),University of Richmond DSL + Virginia Tech,https://dsl.richmond.edu/panorama/redlining/,https://dsl.richmond.edu/panorama/redlining/#loc=4/39.886/-97.805&text=downloads,polygon (city neighborhood ~1935-1940),1935-1940,historical (stable),Shapefile + GeoJSON + GeoPackage,<500 MB,CC BY-NC-SA,Free,2026-04-21,"Historical HOLC grades for Chicago — structural cause narrative + peer-neighborhood matching variable. Englewood + Chicago Lawn both contain D-graded (""redlined"") tracts.",1
NHGIS Historical Tract Boundaries,IPUMS NHGIS / U. Minnesota,https://www.nhgis.org/,https://www.nhgis.org/,tract (historical vintages 1910-2020),1910-2020,periodic (every decadal Census),Shapefile + CSV,varies,Public (NHGIS terms — free account),Free,2026-04-21,Crosswalk ACS + Census vintages to a stable tract geography for time-series analysis.,2
Chicago Health Atlas (HCS — Healthy Chicago Survey),CDPH,https://www.chicago.gov/city/en/depts/cdph/supp_info/healthy-communities/hcs-data-and-documentation.html,https://chicagohealthatlas.org/download,community area,2014-2023 (most recent verified),ad hoc,XLSX + CSV,<100 MB,Public,Free,2026-04-21,City-administered survey — behavioral + self-rated health at community-area resolution (more granular than BRFSS MMSA).,2
Walk Score API,Walk Score (Redfin),https://www.walkscore.com/professional/api.php,https://www.walkscore.com/professional/api.php,address / lat-lon,current only,continuous,JSON API,small,Proprietary — free tier with rate limits + paid,Free tier + paid,2026-04-21,Per-address walkability score — MT3 Safe Walking Routes + RC3 Park access context. Be cautious: proprietary methodology.,3
Eviction Lab Historical + Tracking,Princeton Eviction Lab,https://evictionlab.org/,https://evictionlab.org/get-the-data/,block group + tract + county + state,2000-2016 historical; 2020-present tracking,monthly (tracking),CSV,<1 GB,CC BY-SA,Free (email form),2026-04-21,Eviction filing rate pre/post COVID — housing-instability pathway to mortality.,2
Northwestern IPR data products,Northwestern Institute for Policy Research,https://ipr.northwestern.edu/,https://ipr.northwestern.edu/research/,varies,varies,varies,varies,Academic,Free,2026-04-21,IPR is a secondary / tertiary knowledge source — individual research products to browse for Chicago-specific working papers.,3
Metropolitan Planning Council research,MPC,https://metroplanning.org/,https://metroplanning.org/research/,varies (Chicago metro focus),varies,varies,PDF + XLSX,varies,MPC terms,Free,2026-04-21,Chicago regional planning + transit reform + zoning background reports — contextual not analytical.,3
